City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Lompoc,US,70.09,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
6,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
7,Mount Pleasant,US,79.99,mist,32.7941,-79.8626,Best Western Patriots Point
8,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
9,Celestun,MX,77.5,broken clouds,20.8667,-90.4,Posada Lilia
11,Atuona,PF,77.68,clear sky,-9.8,-139.0333,Villa Enata
13,Panzhihua,CN,85.5,clear sky,26.5851,101.7128,Electric Power Hotel
15,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Kununurra,AU,85.98,few clouds,-15.7667,128.7333,Hotel Kununurra
24,Bilma,NE,89.08,clear sky,18.6853,12.9164,Expeditions Ténére voyages
26,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
27,Tautira,PF,78.82,broken clouds,-17.7333,-149.15,Pension Oaoa
32,Kalispell,US,74.66,smoke,48.1958,-114.3129,Red Lion Hotel Kalispell
37,Along,IN,89.53,overcast clouds,28.1667,94.7667,Hotel West
39,Butaritari,KI,81.21,moderate rain,3.0707,172.7902,Isles Sunset Lodge
41,Fort Nelson,CA,71.19,smoke,58.8053,-122.7002,The Fort Nelson Hotel
43,Praia Da Vitoria,PT,72.75,broken clouds,38.7333,-27.0667,Hotel Branco I
44,Port Blair,IN,82.26,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
48,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
51,Norman Wells,CA,86.04,smoke,65.282,-126.8329,Heritage Hotel
53,Awbari,LY,82.4,clear sky,26.5921,12.7805,فندق أوباري
54,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
57,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
59,Dauphin,CA,71.74,clear sky,51.1494,-100.0502,Canway Inn & Suites
