,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Narsaq,GL,60.9167,-46.05,46.62,95,100,2.55,light rain
1,Madimba,TZ,-10.4,40.3333,68.74,86,8,8.57,clear sky
2,Lompoc,US,34.6391,-120.4579,70.09,81,1,10.36,clear sky
3,Namibe,AO,-15.1961,12.1522,65.68,86,21,8.57,few clouds
4,New Norfolk,AU,-42.7826,147.0587,55.89,64,98,1.07,overcast clouds
5,Kodiak,US,57.79,-152.4072,54.91,76,90,10.36,overcast clouds
6,Georgetown,MY,5.4112,100.3354,89.55,68,20,1.99,few clouds
7,Mount Pleasant,US,32.7941,-79.8626,79.99,90,20,3.0,mist
8,Hambantota,LK,6.1241,81.1185,86.34,74,20,14.97,few clouds
9,Celestun,MX,20.8667,-90.4,77.5,89,64,13.47,broken clouds
10,Lebu,CL,-37.6167,-73.65,50.95,92,40,16.62,scattered clouds
11,Atuona,PF,-9.8,-139.0333,77.68,73,5,18.9,clear sky
12,Elmadag,TR,39.9208,33.2308,67.35,51,0,3.09,clear sky
13,Panzhihua,CN,26.5851,101.7128,85.5,50,0,1.57,clear sky
14,Mataura,NZ,-46.1927,168.8643,49.48,79,24,3.56,few clouds
15,Kapaa,US,22.0752,-159.319,84.18,77,40,5.99,scattered clouds
16,Tiksi,RU,71.6872,128.8694,48.96,61,81,7.02,broken clouds
17,Katsuura,JP,35.1333,140.3,91.51,76,46,11.03,scattered clouds
18,Rikitea,PF,-23.1203,-134.9692,69.22,57,66,20.56,broken clouds
19,Kununurra,AU,-15.7667,128.7333,85.98,20,24,12.66,few clouds
20,Bonwapitse,BW,-23.0766,26.7037,52.02,54,0,12.06,clear sky
21,Prince Rupert,CA,54.3161,-130.3201,64.09,76,75,5.75,broken clouds
22,Jamestown,US,42.097,-79.2353,60.44,78,1,2.33,clear sky
23,Marzuq,YE,14.4,46.4667,81.16,56,29,2.08,scattered clouds
24,Bilma,NE,18.6853,12.9164,89.08,30,0,11.95,clear sky
25,Saint-Philippe,RE,-21.3585,55.7679,67.59,66,0,2.46,clear sky
26,Hilo,US,19.7297,-155.09,78.53,78,90,10.36,light rain
27,Tautira,PF,-17.7333,-149.15,78.82,69,70,10.38,broken clouds
28,Saint-Denis,FR,48.9167,2.3333,61.29,94,75,3.44,broken clouds
29,Busselton,AU,-33.65,115.3333,57.09,75,100,5.41,overcast clouds
30,Luchenza,MW,-16.0069,35.3095,50.56,71,0,2.37,clear sky
31,Gravdal,NO,68.1214,13.5031,50.0,77,97,10.31,overcast clouds
32,Kalispell,US,48.1958,-114.3129,74.66,85,75,0.0,smoke
33,Bjelovar,HR,45.8986,16.8489,62.29,82,11,2.06,few clouds
34,Hermanus,ZA,-34.4187,19.2345,56.89,71,0,3.56,clear sky
35,Barrow,US,71.2906,-156.7887,46.42,87,90,17.27,mist
36,Ushuaia,AR,-54.8,-68.3,37.06,87,40,18.41,scattered clouds
37,Along,IN,28.1667,94.7667,89.53,61,100,1.59,overcast clouds
38,Pangnirtung,CA,66.1451,-65.7125,43.93,90,100,1.9,overcast clouds
39,Butaritari,KI,3.0707,172.7902,81.21,76,39,4.85,moderate rain
40,Antalaha,MG,-14.9003,50.2788,65.98,82,0,5.21,clear sky
41,Fort Nelson,CA,58.8053,-122.7002,71.19,73,75,3.44,smoke
42,Hobart,AU,-42.8794,147.3294,56.23,64,75,0.0,broken clouds
43,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,94,75,4.05,broken clouds
44,Port Blair,IN,11.6667,92.75,82.26,82,100,19.13,light rain
45,Punta Arenas,CL,-53.15,-70.9167,37.51,81,0,28.77,clear sky
46,Lavrentiya,RU,65.5833,-171.0,45.36,99,100,8.37,light rain
47,Bambari,CF,5.768,20.6757,69.31,95,98,0.34,overcast clouds
48,Vaini,TO,-21.2,-175.2,75.36,64,20,12.66,few clouds
49,Goderich,CA,43.7501,-81.7165,59.92,88,48,3.44,scattered clouds
50,Cape Town,ZA,-33.9258,18.4232,57.11,100,0,4.61,clear sky
51,Norman Wells,CA,65.282,-126.8329,86.04,26,20,8.05,smoke
52,Severo-Kurilsk,RU,50.6789,156.125,54.75,74,85,11.97,overcast clouds
53,Awbari,LY,26.5921,12.7805,82.4,14,0,9.73,clear sky
54,Kahului,US,20.8947,-156.47,83.46,70,40,21.85,scattered clouds
55,Necochea,AR,-38.5473,-58.7368,47.03,73,8,10.83,clear sky
56,Port Alfred,ZA,-33.5906,26.891,54.23,83,0,10.54,clear sky
57,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,10.36,few clouds
58,Tanout,NE,14.9709,8.8879,82.15,62,96,12.3,overcast clouds
59,Dauphin,CA,51.1494,-100.0502,71.74,68,1,10.36,clear sky
60,Singaparna,ID,-7.3515,108.111,71.89,98,100,3.0,overcast clouds
61,Maumere,ID,-8.6199,122.2111,84.81,65,69,5.06,broken clouds
62,Tazovskiy,RU,67.4667,78.7,62.85,66,90,12.19,overcast clouds
63,Albany,US,42.6001,-73.9662,59.41,87,0,4.09,clear sky
